,Sybil,id,join_date,num_comment,num_comment_on_own_post,num_friend,num_join_group,num_like_on_own_post,num_own_post,num_post_on_wall,num_reaction,num_share_on_own_post,num_tagged_post,num_used_tags,num_used_tags_commnet,num_user_tags,num_user_tags_comment,is_train
1097,0,100006610297985,2001-01-01,,,0.0,,,2.0,,,,4.0,,,4.0,,TRUE
1098,0,100003930069457,2001-01-01,,,0.0,3.0,,,,,,1.0,,,1.0,,TRUE
1099,0,100003986580003,2001-01-01,5.0,,0.0,,,,,,,1.0,,,1.0,,FALSE
1100,0,100005432080331,2001-01-01,,,0.0,22.0,,,,,,1.0,,,1.0,,TRUE
1101,0,100005590776209,2001-01-01,19.0,,2.0,,,,,,,1.0,,,1.0,,TRUE
1102,0,100004222986125,2001-01-01,4.0,,0.0,,,,,,,1.0,,,1.0,,TRUE
1103,0,100005238187309,2001-01-01,,,0.0,154.0,,,,,,2.0,,,2.0,,TRUE
1104,0,100003752916860,2001-01-01,,,0.0,,,5.0,,,,2.0,6.0,,2.0,,TRUE
1105,0,100004232318667,2001-01-01,,,0.0,,,4.0,,,,2.0,,,2.0,,TRUE
1106,0,100004213572202,2001-01-01,8.0,,0.0,,,,,,,2.0,,,2.0,,TRUE
1107,0,100000468847969,2001-01-01,,,0.0,,,2.0,,,,2.0,2.0,,2.0,,TRUE
1108,0,100002871953419,,,,0.0,,,,,25.0,,1.0,,,1.0,,TRUE
1109,0,100009146736659,2001-01-01,,,0.0,,,7.0,,,,8.0,23.0,,8.0,,TRUE
1110,0,100005109466608,2001-01-01,,,0.0,,,18.0,,,,1.0,,,1.0,,TRUE
1111,0,100005028120239,2001-01-01,,,0.0,,,3.0,,,,5.0,6.0,,7.0,,FALSE
1112,0,100006139922531,2001-01-01,,,0.0,,,4.0,,,,1.0,7.0,,1.0,,TRUE
1113,0,100002959441784,2001-01-01,,,0.0,,,9.0,,,,2.0,,,2.0,,TRUE
1114,0,100013684291338,2001-01-01,,,0.0,,,,,15.0,,3.0,,,3.0,,TRUE
1115,0,100004786751700,2001-01-01,,,0.0,3.0,,,,,,1.0,,,1.0,,TRUE
1116,0,100011230441812,,1.0,,,2.0,,1.0,1.0,,,,,,,,TRUE
1117,0,100004480232631,2001-01-01,,,0.0,,,6.0,,,,1.0,,,2.0,,TRUE
1118,0,100004769260521,2001-01-01,,,0.0,67.0,,,,,,1.0,,,1.0,,TRUE
1119,0,100018147186631,2001-01-01,,,0.0,,,5.0,,,,1.0,,,1.0,,TRUE
1120,0,100004518456793,2001-01-01,,,0.0,7.0,,,,,,1.0,,,1.0,,TRUE
1121,0,100006229154788,2001-01-01,,,0.0,4.0,,,,,,1.0,,,1.0,,FALSE
1122,1,100008896412865,2001-01-01,,,2.0,88.0,,,,,,6.0,,,6.0,,TRUE
1123,0,100005507837240,2001-01-01,,,0.0,,,4.0,,,,5.0,10.0,,6.0,,TRUE
1124,0,100014171317640,2001-01-01,,,0.0,,,,,26.0,,2.0,,,2.0,,TRUE
1125,0,100006676274519,2001-01-01,,,0.0,3.0,,,,,,1.0,,,1.0,,FALSE
1126,0,100010665918867,2001-01-01,,,0.0,,,7.0,,,,1.0,,,1.0,,TRUE
1127,0,100000130966761,,,,,,,4.0,,,,7.0,16.0,,7.0,,TRUE
1128,0,100005570077825,2001-01-01,,,0.0,,,,,,,1.0,,,1.0,,TRUE
1129,0,451334705038511,2001-01-01,,,0.0,,,,,,,1.0,,,1.0,,TRUE
1130,0,1027642297,,,,,,,,,,,5.0,,,5.0,,FALSE
1131,0,100010241443547,2001-01-01,,,0.0,,,,,,,1.0,,,1.0,,TRUE
1132,0,100004090205323,2001-01-01,,,0.0,,,,,,,2.0,,,2.0,,TRUE
1133,0,100003892295522,2001-01-01,,,0.0,,,,,,,2.0,,,2.0,,FALSE
1134,0,100005611901402,2001-01-01,,,0.0,,,,,,,1.0,,,1.0,,TRUE
1135,0,100007205553861,2001-01-01,,,3.0,,,,,,,7.0,,,7.0,,TRUE
1136,0,100004773810745,2001-01-01,,,0.0,,,,,,,1.0,,,1.0,,TRUE
1137,0,100002858857009,2001-01-01,,,0.0,,,,,,,3.0,,,3.0,,FALSE
1138,0,100004158032156,2001-01-01,,,0.0,,,,,,,1.0,,,1.0,,TRUE
1139,0,100022284800967,,,,,,,,,,,1.0,,,2.0,,TRUE
1140,0,100006952661253,2001-01-01,,,0.0,,,,,,,1.0,,,1.0,,TRUE
1141,0,100004844533326,,,,,,,,,,,3.0,,,3.0,,TRUE
1142,0,100006667026562,2001-01-01,,,0.0,,,,,,,2.0,,,2.0,,FALSE
1143,0,100008305779722,2001-01-01,,,3.0,,,,,,,1.0,,,1.0,,TRUE
1144,0,100026492634034,,,,,,,,,,,1.0,,,1.0,,TRUE
1145,1,100004977043437,2001-01-01,,,0.0,,,,,,,3.0,,,3.0,,FALSE
